Estimate	StdError	Pval	PvalFDR	Modules	Outcome	Model
2.7464079096533025	3.0382717473862946	0.36602851840954004	0.8360242815972382	M5	MCIadj	MCI_CTL ~ M5 + Sex + e4_c
-2.2218271356125605	3.1798888699270265	0.4847319105063088	0.8360242815972382	M6	MCIadj	MCI_CTL ~ M6 + Sex + e4_c
1.2649384808399198	3.128068837781219	0.6859309535564098	0.8360242815972382	M7	MCIadj	MCI_CTL ~ M7 + Sex + e4_c
2.678412067808935	2.9865500022293765	0.3698124195603472	0.8360242815972382	M8	MCIadj	MCI_CTL ~ M8 + Sex + e4_c
-1.0779254864744259	3.1465674584837218	0.7319205701976803	0.8360242815972382	M9	MCIadj	MCI_CTL ~ M9 + Sex + e4_c
-1.924489341539113	3.333553723455637	0.5637309831708842	0.8360242815972382	M10	MCIadj	MCI_CTL ~ M10 + Sex + e4_c
0.9259349963671251	3.0313620468943037	0.7600220741793073	0.8360242815972382	M11	MCIadj	MCI_CTL ~ M11 + Sex + e4_c
18.463794796142352	2.302874272792229	1.077284313168542e-15	1.9750212408089935e-15	M1	Sexraw	Sex_binary ~ M1
2.851205244046853	2.0333255281160483	0.16084434593947403	0.16084434593947403	M2	Sexraw	Sex_binary ~ M2
19.317914592038917	2.3210058010700467	8.570729708981863e-17	2.3569506699700125e-16	M3	Sexraw	Sex_binary ~ M3
25.422578071471385	2.538612984771796	1.3181554186607264e-23	1.4499709605267991e-22	M4	Sexraw	Sex_binary ~ M4
6.753903023572279	2.073563052466406	0.0011253749597751107	0.0013754582841695798	M5	Sexraw	Sex_binary ~ M5
18.97535500961709	2.3110274089351597	2.197424421137088e-16	4.834333726501594e-16	M6	Sexraw	Sex_binary ~ M6
7.234440438289895	2.070611847290016	4.76079821184065e-4	6.546097541280894e-4	M7	Sexraw	Sex_binary ~ M7
3.4331158735581697	2.0385104005201455	0.09215660905074724	0.10137226995582198	M8	Sexraw	Sex_binary ~ M8
20.859639036520242	2.388514073384847	2.473212606875041e-18	1.3602669337812726e-17	M9	Sexraw	Sex_binary ~ M9
